# Units are in mm. ECal is shifted by +40 mm in y relative to previous output.
# Coordinates are relative to ECal center, same system as G4SBS
# Number of logic patterns = 16
# Type 42: 999
# Type 40: 697
# Type 38: 81
# Total number of modules: 1777

#cell    x    y   size
  528  -514  -485   42
  529  -472  -485   42
  530  -430  -485   42
  553  -539  -443   42
  554  -497  -443   42
  555  -455  -443   42
  556  -413  -443   42
  580  -518  -401   42
  581  -476  -401   42
  582  -434  -401   42
  583  -392  -401   42
  607  -539  -359   42
  608  -497  -359   42
  609  -455  -359   42
  610  -413  -359   42
  634  -518  -317   42
  635  -476  -317   42
  636  -434  -317   42
  637  -392  -317   42
  661  -459  -275   42
  662  -417  -275   42
  686  -438  -233   42
  687  -396  -233   42
######################
  391  -619  -695   42
  392  -577  -695   42
  393  -535  -695   42
  394  -493  -695   42
  418  -598  -653   42
  419  -556  -653   42
  420  -514  -653   42
  421  -472  -653   42
  445  -619  -611   42
  446  -577  -611   42
  447  -535  -611   42
  448  -493  -611   42
  472  -598  -569   42
  473  -556  -569   42
  474  -514  -569   42
  475  -472  -569   42
  499  -619  -527   42
  500  -577  -527   42
  501  -535  -527   42
  502  -493  -527   42
  526  -598  -485   42
  527  -556  -485   42
  528  -514  -485   42
  529  -472  -485   42
  553  -539  -443   42
  554  -497  -443   42
  580  -518  -401   42
  581  -476  -401   42
######################
  314  -598  -821   42
  315  -556  -821   42
  316  -514  -821   42
  317  -472  -821   42
  337  -619  -779   42
  338  -577  -779   42
  339  -535  -779   42
  340  -493  -779   42
  364  -598  -737   42
  365  -556  -737   42
  366  -514  -737   42
  367  -472  -737   42
  391  -619  -695   42
  392  -577  -695   42
  393  -535  -695   42
  394  -493  -695   42
  418  -598  -653   42
  419  -556  -653   42
  420  -514  -653   42
  421  -472  -653   42
  445  -619  -611   42
  446  -577  -611   42
  447  -535  -611   42
  448  -493  -611   42
  472  -598  -569   42
  473  -556  -569   42
  474  -514  -569   42
  475  -472  -569   42
  499  -619  -527   42
  500  -577  -527   42
  501  -535  -527   42
  502  -493  -527   42
######################
  224  -598  -989   42
  225  -556  -989   42
  226  -514  -989   42
  227  -472  -989   42
  245  -619  -947   42
  246  -577  -947   42
  247  -535  -947   42
  248  -493  -947   42
  268  -598  -905   42
  269  -556  -905   42
  270  -514  -905   42
  271  -472  -905   42
  291  -619  -863   42
  292  -577  -863   42
  293  -535  -863   42
  294  -493  -863   42
  314  -598  -821   42
  315  -556  -821   42
  316  -514  -821   42
  317  -472  -821   42
  337  -619  -779   42
  338  -577  -779   42
  339  -535  -779   42
  340  -493  -779   42
  364  -598  -737   42
  365  -556  -737   42
  366  -514  -737   42
  367  -472  -737   42
  391  -619  -695   42
  392  -577  -695   42
  393  -535  -695   42
  394  -493  -695   42
######################
  143  -598 -1157   42
  144  -556 -1157   42
  145  -514 -1157   42
  146  -472 -1157   42
  161  -619 -1115   42
  162  -577 -1115   42
  163  -535 -1115   42
  164  -493 -1115   42
  182  -598 -1073   42
  183  -556 -1073   42
  184  -514 -1073   42
  185  -472 -1073   42
  203  -619 -1031   42
  204  -577 -1031   42
  205  -535 -1031   42
  206  -493 -1031   42
  224  -598  -989   42
  225  -556  -989   42
  226  -514  -989   42
  227  -472  -989   42
  245  -619  -947   42
  246  -577  -947   42
  247  -535  -947   42
  248  -493  -947   42
  268  -598  -905   42
  269  -556  -905   42
  270  -514  -905   42
  271  -472  -905   42
  291  -619  -863   42
  292  -577  -863   42
  293  -535  -863   42
  294  -493  -863   42
######################
   75  -598 -1325   42
   76  -556 -1325   42
   77  -514 -1325   42
   78  -472 -1325   42
   89  -619 -1283   42
   90  -577 -1283   42
   91  -535 -1283   42
   92  -493 -1283   42
  107  -598 -1241   42
  108  -556 -1241   42
  109  -514 -1241   42
  110  -472 -1241   42
  125  -619 -1199   42
  126  -577 -1199   42
  127  -535 -1199   42
  128  -493 -1199   42
  143  -598 -1157   42
  144  -556 -1157   42
  145  -514 -1157   42
  146  -472 -1157   42
  161  -619 -1115   42
  162  -577 -1115   42
  163  -535 -1115   42
  164  -493 -1115   42
  182  -598 -1073   42
  183  -556 -1073   42
  184  -514 -1073   42
  185  -472 -1073   42
  203  -619 -1031   42
  204  -577 -1031   42
  205  -535 -1031   42
  206  -493 -1031   42
######################
   25  -518 -1493   42
   26  -476 -1493   42
   33  -619 -1451   42
   34  -577 -1451   42
   35  -535 -1451   42
   36  -493 -1451   42
   47  -598 -1409   42
   48  -556 -1409   42
   49  -514 -1409   42
   50  -472 -1409   42
   61  -619 -1367   42
   62  -577 -1367   42
   63  -535 -1367   42
   64  -493 -1367   42
   75  -598 -1325   42
   76  -556 -1325   42
   77  -514 -1325   42
   78  -472 -1325   42
   89  -619 -1283   42
   90  -577 -1283   42
   91  -535 -1283   42
   92  -493 -1283   42
  107  -598 -1241   42
  108  -556 -1241   42
  109  -514 -1241   42
  110  -472 -1241   42
  125  -619 -1199   42
  126  -577 -1199   42
  127  -535 -1199   42
  128  -493 -1199   42
######################
